doc_id,compound_id,trial_id,doc_type,title,author,date,full_text,tags
DOC-00025,CMP-0131,TRL-0091,Regulatory Briefing,Regulatory Briefing: VLX-1130 - Nov 2023,Kimberly Figueroa,2026-04-30,Regulatory briefing document for VLX-1130: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Oncology population prior to advancing to the next phase.,"Clinical,Safety,R&D"
DOC-00026,CMP-0086,,Lab Notebook Entry,Lab Notebook Entry: DKU-1085 - Aug 2026,Keith Wright,2024-06-24,"Ran Selectivity Panel on DKU-1085 (HER2 program) at 27.6 uM concentration. Observed no significant activity. Compared to reference compound, DKU-1085 showed comparable activity. Recommend in vivo follow-up.","Clinical,Lab Notebook Entry,R&D"
DOC-00027,CMP-0141,TRL-0104,Regulatory Briefing,Regulatory Briefing: RX-1140 - Dec 2025,Marilyn Sanchez,2025-10-12,Regulatory briefing document for RX-1140: summary of nonclinical and clinical safety data supporting the Phase II submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"Safety,Regulatory Briefing,R&D"
DOC-00028,CMP-0015,TRL-0007,Regulatory Briefing,Regulatory Briefing: SNF-1014 - Jan 2025,Lee Arnold,2023-12-27,Regulatory briefing document for SNF-1014: summary of nonclinical and clinical safety data supporting the Phase II submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"R&D,Cardiology,Clinical"
DOC-00029,CMP-0031,,Regulatory Briefing,Regulatory Briefing: DKU-1030 - Apr 2024,Amy Leach,2025-04-12,Regulatory briefing document for DKU-1030: summary of nonclinical and clinical safety data supporting the Preclinical submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"KRAS G12C,R&D,Regulatory Briefing"
DOC-00030,CMP-0099,TRL-0068,SOP Deviation Report,SOP Deviation Report: VLX-1098 - Nov 2023,Kevin Perkins,2025-02-07,"SOP deviation report: during Solubility Assay for VLX-1098, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as none, within spec.","Neurology,R&D,Clinical"
DOC-00031,CMP-0058,TRL-0040,SOP Deviation Report,SOP Deviation Report: PSA-1057 - Apr 2025,Emma Walters,2024-04-20,"SOP deviation report: during Selectivity Panel for PSA-1057, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","SOP Deviation Report,Infectious Disease,NLRP3"
DOC-00032,CMP-0013,,Internal Memo,Internal Memo: SNF-1012 - Dec 2023,Joshua Lewis,2025-03-04,Status update on N/A (SNF-1012): enrollment is at 51% of target across 3 sites. Safety signal review for Vomiting is ongoing. No changes recommended to the current protocol at this time.,"Oncology,Safety,R&D"
DOC-00033,CMP-0120,TRL-0082,Regulatory Briefing,Regulatory Briefing: PSA-1119 - Jun 2025,Shannon Rodriguez,2026-05-15,Regulatory briefing document for PSA-1119: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Oncology population prior to advancing to the next phase.,"Clinical,NLRP3,R&D"
DOC-00034,CMP-0051,TRL-0032,Literature Review,Literature Review: AGN-1050 - Jan 2026,Robert Mendez,2025-01-29,"A meta-analysis of Neurology trials targeting mTOR found that biomarker response improved in 54% of studies reviewed, though QT Prolongation was the most commonly reported dose-limiting toxicity. These findings are directly relevant to the AGN-1050 clinical development plan.","Clinical,Safety,R&D"
DOC-00035,CMP-0088,TRL-0063,Conference Abstract,Conference Abstract: DKU-1087 - Sep 2023,Lindsay Vasquez,2024-03-29,"Conference abstract: 'DKU-1087 demonstrates durable efficacy in Immunology: results from TRL-0063.' Presented findings show a statistically significant benefit with a manageable safety profile; most common adverse event was Peripheral Neuropathy (Mild, self-limited).","Safety,Clinical,Conference Abstract"
DOC-00036,CMP-0060,TRL-0041,Literature Review,Literature Review: RX-1059 - Mar 2025,Tiffany Evans,2026-04-24,"Recent literature on BRAF inhibitors highlights growing interest in Metabolic Disease indications. Several published studies report that selective BRAF modulation can reduce Insomnia-related toxicity relative to first-generation agents. This supports continued investment in the RX-1059 program, particularly given its allosteric modulator of braf, reducing pathological receptor activation","Safety,Literature Review,Metabolic Disease"
DOC-00037,CMP-0001,,Literature Review,Literature Review: VLX-1000 - Jun 2024,Justin Parker,2025-01-11,"Recent literature on JAK2 inhibitors highlights growing interest in Neurology indications. Several published studies report that selective JAK2 modulation can reduce Pyrexia-related toxicity relative to first-generation agents. This supports continued investment in the VLX-1000 program, particularly given its selective inhibitor of jak2, blocking downstream proliferative signaling","Safety,R&D,Clinical"
DOC-00038,CMP-0042,,SOP Deviation Report,SOP Deviation Report: RX-1041 - Aug 2026,Katherine Flores,2026-08-19,"SOP deviation report: during Pharmacokinetic (PK) Study for RX-1041, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","SOP Deviation Report,BRAF,Clinical"
DOC-00039,CMP-0040,TRL-0028,Literature Review,Literature Review: DKU-1039 - Feb 2025,Austin Reynolds,2024-08-16,"Recent literature on VEGFR2 inhibitors highlights growing interest in Metabolic Disease indications. Several published studies report that selective VEGFR2 modulation can reduce Pyrexia-related toxicity relative to first-generation agents. This supports continued investment in the DKU-1039 program, particularly given its selective inhibitor of vegfr2, blocking downstream proliferative signaling","R&D,Clinical,VEGFR2"
DOC-00040,CMP-0119,TRL-0081,Literature Review,Literature Review: SNF-1118 - Jun 2026,Mark Ryan,2024-04-05,"Recent literature on PCSK9 inhibitors highlights growing interest in Infectious Disease indications. Several published studies report that selective PCSK9 modulation can reduce Diarrhea-related toxicity relative to first-generation agents. This supports continued investment in the SNF-1118 program, particularly given its competitive antagonist at the pcsk9 binding site, restoring normal pathway flux","PCSK9,Literature Review,R&D"
DOC-00041,CMP-0140,,Regulatory Briefing,Regulatory Briefing: AGN-1139 - Jan 2026,Cindy Shaw,2024-09-02,Regulatory briefing document for AGN-1139: summary of nonclinical and clinical safety data supporting the Preclinical submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"Safety,CDK4/6,Cardiology"
DOC-00042,CMP-0021,,Internal Memo,Internal Memo: SNF-1020 - Jan 2024,Leon Duncan,2024-03-05,Status update on N/A (SNF-1020): enrollment is at 28% of target across 6 sites. Safety signal review for Fatigue is ongoing. No changes recommended to the current protocol at this time.,"Clinical,TNF-alpha,R&D"
DOC-00043,CMP-0012,TRL-0005,Regulatory Briefing,Regulatory Briefing: DKU-1011 - Mar 2024,Rachel Phelps,2025-07-17,Regulatory briefing document for DKU-1011: summary of nonclinical and clinical safety data supporting the Phase II submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Metabolic Disease population prior to advancing to the next phase.,"Metabolic Disease,Regulatory Briefing,Safety"
DOC-00044,CMP-0073,TRL-0053,SOP Deviation Report,SOP Deviation Report: DKU-1072 - Mar 2024,Veronica Valdez,2026-01-28,"SOP deviation report: during Cell Viability Assay for DKU-1072, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","Clinical,Metabolic Disease,R&D"
DOC-00045,CMP-0065,TRL-0046,Conference Abstract,Conference Abstract: PSA-1064 - Jan 2026,Timothy Kennedy,2026-04-12,"Conference abstract: 'PSA-1064 demonstrates promising efficacy in Cardiology: results from TRL-0046.' Presented findings show a clinically meaningful benefit with a manageable safety profile; most common adverse event was Decreased Appetite (Moderate, self-limited).","Clinical,R&D,Conference Abstract"
DOC-00046,CMP-0075,,Internal Memo,Internal Memo: DKU-1074 - Feb 2024,Hector Mcgee,2025-01-22,Status update on N/A (DKU-1074): enrollment is at 71% of target across 7 sites. Safety signal review for Injection Site Reaction is escalated to DSMB. No changes recommended to the current protocol at this time.,"Cardiology,Internal Memo,Clinical"
DOC-00047,CMP-0006,TRL-0003,Lab Notebook Entry,Lab Notebook Entry: PSA-1005 - Dec 2024,Jason Gill,2024-12-03,Follow-up assay for PSA-1005: repeated Metabolic Stability (Microsomal) in triplicate to confirm prior result of no significant activity. Variance was higher than expected (>20%). PSA-1005 remains a backup candidate for the Respiratory program pending scale-up synthesis.,"Safety,VEGFR2,Lab Notebook Entry"
DOC-00048,CMP-0011,,Regulatory Briefing,Regulatory Briefing: PSA-1010 - Aug 2026,Robert Proctor,2026-01-04,Regulatory briefing document for PSA-1010: summary of nonclinical and clinical safety data supporting the Preclinical submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Cardiology population prior to advancing to the next phase.,"Clinical,R&D,IL-6R"
DOC-00049,CMP-0072,TRL-0052,Lab Notebook Entry,Lab Notebook Entry: VLX-1071 - Oct 2023,Christine Moran,2024-08-05,"Ran Solubility Assay on VLX-1071 (HER2 program) at 9.8 uM concentration. Observed dose-dependent inhibition. Compared to reference compound, VLX-1071 showed inferior activity. Recommend formulation optimization.","R&D,Safety,Infectious Disease"
DOC-00050,CMP-0055,TRL-0037,Internal Memo,Internal Memo: VLX-1054 - Sep 2024,Erika Castro,2024-04-23,Status update on TRL-0037 (VLX-1054): enrollment is at 57% of target across 4 sites. Safety signal review for QT Prolongation is escalated to DSMB. No changes recommended to the current protocol at this time.,"KRAS G12C,Clinical,Oncology"
DOC-00051,CMP-0048,TRL-0031,Literature Review,Literature Review: RX-1047 - May 2024,Selena Rodriguez,2024-06-10,"Recent literature on GLP-1R inhibitors highlights growing interest in Neurology indications. Several published studies report that selective GLP-1R modulation can reduce Pyrexia-related toxicity relative to first-generation agents. This supports continued investment in the RX-1047 program, particularly given its monoclonal antibody that binds glp-1r, triggering immune-mediated cell death","Clinical,R&D,GLP-1R"
DOC-00052,CMP-0073,TRL-0053,Regulatory Briefing,Regulatory Briefing: DKU-1072 - Sep 2024,Nathan Harrison,2026-08-16,Regulatory briefing document for DKU-1072: summary of nonclinical and clinical safety data supporting the Phase II submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Metabolic Disease population prior to advancing to the next phase.,"Safety,Clinical,KRAS G12C"
DOC-00053,CMP-0080,TRL-0060,Literature Review,Literature Review: VLX-1079 - Nov 2023,Melissa Stout,2025-03-04,"Recent literature on HER2 inhibitors highlights growing interest in Immunology indications. Several published studies report that selective HER2 modulation can reduce Diarrhea-related toxicity relative to first-generation agents. This supports continued investment in the VLX-1079 program, particularly given its monoclonal antibody that binds her2, triggering immune-mediated cell death","Immunology,R&D,Safety"
DOC-00054,CMP-0105,,Literature Review,Literature Review: AGN-1104 - Jul 2024,Jaime Garcia,2025-08-18,"A meta-analysis of Infectious Disease trials targeting SGLT2 found that symptom control improved in 49% of studies reviewed, though Injection Site Reaction was the most commonly reported dose-limiting toxicity. These findings are directly relevant to the AGN-1104 clinical development plan.","Safety,Literature Review,R&D"
DOC-00055,CMP-0058,TRL-0040,SOP Deviation Report,SOP Deviation Report: PSA-1057 - Jul 2024,Thomas Rodriguez,2024-02-12,"SOP deviation report: during Selectivity Panel for PSA-1057, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","Safety,SOP Deviation Report,NLRP3"
DOC-00056,CMP-0073,TRL-0053,Conference Abstract,Conference Abstract: DKU-1072 - Dec 2025,Reginald Gutierrez,2024-03-02,"Conference abstract: 'DKU-1072 demonstrates durable efficacy in Metabolic Disease: results from TRL-0053.' Presented findings show a clinically meaningful benefit with a manageable safety profile; most common adverse event was Vomiting (Moderate, self-limited).","Safety,R&D,Clinical"
DOC-00057,CMP-0105,,Literature Review,Literature Review: AGN-1104 - Feb 2024,Curtis Miller,2024-06-12,"A meta-analysis of Infectious Disease trials targeting SGLT2 found that progression-free survival improved in 53% of studies reviewed, though Hypertension was the most commonly reported dose-limiting toxicity. These findings are directly relevant to the AGN-1104 clinical development plan.","Infectious Disease,Safety,Clinical"
DOC-00058,CMP-0103,TRL-0072,Internal Memo,Internal Memo: SNF-1102 - Dec 2025,Joseph Carter,2023-10-11,Internal memo re: SNF-1102 (Approved). The project team met to review Q1 progress. Key decision: expand to two additional sites. Budget and timeline impact to be assessed by the portfolio committee. Next milestone review scheduled for 2026-11-12.,"Clinical,Respiratory,Internal Memo"
DOC-00059,CMP-0109,,Lab Notebook Entry,Lab Notebook Entry: VLX-1108 - Jan 2026,Richard Dawson,2024-08-26,"Ran Metabolic Stability (Microsomal) on VLX-1108 (BRAF program) at 36.8 uM concentration. Observed strong target engagement. Compared to reference compound, VLX-1108 showed inferior activity. Recommend structural analog screening.","Clinical,Safety,BRAF"
DOC-00060,CMP-0102,TRL-0070,Lab Notebook Entry,Lab Notebook Entry: AGN-1101 - Apr 2026,Jill Wilkerson,2024-04-06,"Ran Selectivity Panel on AGN-1101 (NLRP3 program) at 11.8 uM concentration. Observed moderate cytotoxicity at high dose. Compared to reference compound, AGN-1101 showed comparable activity. Recommend structural analog screening.","Safety,R&D,NLRP3"
DOC-00061,CMP-0137,TRL-0100,Conference Abstract,Conference Abstract: AGN-1136 - Feb 2025,Gary Byrd,2025-10-27,"Conference abstract: 'AGN-1136 demonstrates durable efficacy in Respiratory: results from TRL-0100.' Presented findings show a statistically significant benefit with a manageable safety profile; most common adverse event was Peripheral Neuropathy (Severe, self-limited).","Conference Abstract,Safety,Respiratory"
DOC-00062,CMP-0048,TRL-0031,Internal Memo,Internal Memo: RX-1047 - Dec 2025,Bryan Jenkins,2024-11-24,Status update on TRL-0031 (RX-1047): enrollment is at 57% of target across 7 sites. Safety signal review for Cough is ongoing. No changes recommended to the current protocol at this time.,"Internal Memo,GLP-1R,Clinical"
DOC-00063,CMP-0112,,SOP Deviation Report,SOP Deviation Report: SNF-1111 - Mar 2025,Joseph Durham,2025-03-31,"SOP deviation report: during Pharmacokinetic (PK) Study for SNF-1111, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as moderate - samples re-run.","Safety,R&D,SOP Deviation Report"
DOC-00064,CMP-0011,,SOP Deviation Report,SOP Deviation Report: PSA-1010 - Oct 2023,Andrew Gordon,2026-02-08,"SOP deviation report: during Metabolic Stability (Microsomal) for PSA-1010, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as moderate - samples re-run.","R&D,Safety,SOP Deviation Report"
DOC-00065,CMP-0119,TRL-0081,Regulatory Briefing,Regulatory Briefing: SNF-1118 - Jan 2026,Kenneth Walters DDS,2025-05-29,Regulatory briefing document for SNF-1118: summary of nonclinical and clinical safety data supporting the Phase III submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Infectious Disease population prior to advancing to the next phase.,"Clinical,Regulatory Briefing,Safety"
DOC-00066,CMP-0055,TRL-0037,SOP Deviation Report,SOP Deviation Report: VLX-1054 - Aug 2026,Kim Lindsey,2026-04-01,"SOP deviation report: during Cell Viability Assay for VLX-1054, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as minimal.","SOP Deviation Report,Clinical,Oncology"
DOC-00067,CMP-0049,,SOP Deviation Report,SOP Deviation Report: DKU-1048 - Dec 2023,Lisa Kaiser,2025-12-19,"SOP deviation report: during Pharmacokinetic (PK) Study for DKU-1048, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as none, within spec.","SGLT2,R&D,Clinical"
DOC-00068,CMP-0150,TRL-0110,Internal Memo,Internal Memo: PSA-1149 - Jan 2025,Jerry Gilmore,2025-12-05,Internal memo re: PSA-1149 (Phase III). The project team met to review Q2 progress. Key decision: pause enrollment pending safety review. Budget and timeline impact to be assessed by the portfolio committee. Next milestone review scheduled for 2026-11-28.,"Clinical,Metabolic Disease,JAK2"
DOC-00069,CMP-0133,TRL-0093,Regulatory Briefing,Regulatory Briefing: DKU-1132 - Aug 2025,Matthew Morgan,2025-04-17,Regulatory briefing document for DKU-1132: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Infectious Disease population prior to advancing to the next phase.,"Infectious Disease,Safety,Regulatory Briefing"
DOC-00070,CMP-0006,TRL-0003,Regulatory Briefing,Regulatory Briefing: PSA-1005 - Oct 2025,Jessica Smith,2025-06-08,Regulatory briefing document for PSA-1005: summary of nonclinical and clinical safety data supporting the Phase I submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Respiratory population prior to advancing to the next phase.,"Respiratory,Clinical,Regulatory Briefing"
DOC-00071,CMP-0144,,Conference Abstract,Conference Abstract: SNF-1143 - Sep 2023,Alicia Perez,2024-12-28,"Conference abstract: 'SNF-1143 demonstrates durable efficacy in Immunology: results from N/A.' Presented findings show a clinically meaningful benefit with a manageable safety profile; most common adverse event was QT Prolongation (Mild, self-limited).","Immunology,Safety,mTOR"
DOC-00072,CMP-0086,,Regulatory Briefing,Regulatory Briefing: DKU-1085 - Jun 2024,Michael Nguyen,2025-01-31,Regulatory briefing document for DKU-1085: summary of nonclinical and clinical safety data supporting the Preclinical submission. hERG and genotoxicity screens were within acceptable limits. Agency feedback requested additional PK data in the Immunology population prior to advancing to the next phase.,"Safety,Clinical,HER2"
DOC-00073,CMP-0067,,SOP Deviation Report,SOP Deviation Report: RX-1066 - Sep 2025,Laura Gomez,2026-05-08,"SOP deviation report: during Selectivity Panel for RX-1066, a temperature excursion was noted in the incubation step. Root cause: equipment calibration overdue. Corrective action: recalibrate and re-run affected samples. Impact to data integrity assessed as none, within spec.","R&D,SOP Deviation Report,Safety"
DOC-00074,CMP-0064,TRL-0044,Internal Memo,Internal Memo: DKU-1063 - Mar 2024,Christine White,2023-10-16,Internal memo re: DKU-1063 (Approved). The project team met to review Q1 progress. Key decision: continue to next dose cohort. Budget and timeline impact to be assessed by the portfolio committee. Next milestone review scheduled for 2026-12-06.,"Safety,Clinical,TNF-alpha"
DOC-00075,CMP-0012,TRL-0006,Lab Notebook Entry,Lab Notebook Entry: DKU-1011 - Jul 2025,Penny Fernandez,2026-07-29,Follow-up assay for DKU-1011: repeated hERG Cardiotoxicity Screen in triplicate to confirm prior result of dose-dependent inhibition. Variance was moderate (10-20%). DKU-1011 remains a watchlist candidate for the Metabolic Disease program pending formulation optimization.,"Safety,R&D,Lab Notebook Entry"
