result_id,compound_id,experiment_type,result_value,unit,result_date,technician,pass_fail
LAB-00019,CMP-0094,Solubility Assay,0.51,mg/mL,2026-07-04,Manuel Brock,Fail
LAB-00020,CMP-0076,Selectivity Panel,49.7,% selectivity,2024-01-12,Robert Villarreal,Fail
LAB-00021,CMP-0061,Enzymatic Inhibition Assay,0.75,nM (IC50),2026-08-10,Frank Valentine,Pass
LAB-00022,CMP-0079,Cell Viability Assay,49.9,% viability,2023-07-08,Vincent Novak,Pass
LAB-00023,CMP-0102,Enzymatic Inhibition Assay,2.2,nM (IC50),2023-11-17,Katherine Johnston,Pass
LAB-00024,CMP-0109,Metabolic Stability (Microsomal),113.3,min (t1/2),2023-09-06,Robert Long,Fail
LAB-00025,CMP-0105,Binding Affinity (SPR),1.4,nM (Kd),2023-03-03,Leslie Gardner,Fail
LAB-00026,CMP-0059,Pharmacokinetic (PK) Study,21.33,hours (t1/2),2025-06-09,Tiffany Murray,Fail
LAB-00027,CMP-0039,Selectivity Panel,5.6,% selectivity,2025-07-18,Eddie Schwartz,Pass
LAB-00028,CMP-0074,Selectivity Panel,32.6,% selectivity,2025-12-26,Jennifer Porter,Pass
LAB-00029,CMP-0024,Enzymatic Inhibition Assay,9.93,nM (IC50),2025-03-30,Matthew Espinoza,Fail
LAB-00030,CMP-0113,Metabolic Stability (Microsomal),65.4,min (t1/2),2025-11-13,William Mendoza,Fail
LAB-00031,CMP-0134,hERG Cardiotoxicity Screen,52.1,% inhibition at 10uM,2024-04-25,Tami Holt,Pass
LAB-00032,CMP-0071,hERG Cardiotoxicity Screen,25.0,% inhibition at 10uM,2024-11-19,Heather Woodard,Fail
LAB-00033,CMP-0103,Metabolic Stability (Microsomal),29.5,min (t1/2),2024-11-09,Angela Mack,Pass
LAB-00034,CMP-0003,Pharmacokinetic (PK) Study,10.02,hours (t1/2),2025-05-05,Matthew Williams,Fail
LAB-00035,CMP-0111,Cell Viability Assay,67.2,% viability,2026-08-24,Jennifer Goodwin,Pass
LAB-00036,CMP-0103,Binding Affinity (SPR),0.74,nM (Kd),2026-07-28,Adam Green,Fail
LAB-00037,CMP-0061,hERG Cardiotoxicity Screen,78.3,% inhibition at 10uM,2024-10-02,Lauren Johnston,Pass
LAB-00038,CMP-0019,hERG Cardiotoxicity Screen,62.6,% inhibition at 10uM,2024-06-29,Raymond Chapman,Pass
LAB-00039,CMP-0021,Cell Viability Assay,41.7,% viability,2024-09-17,Alexander Garcia,Pass
LAB-00040,CMP-0108,Metabolic Stability (Microsomal),152.7,min (t1/2),2024-05-17,Audrey Shepard,Pass
LAB-00041,CMP-0104,Binding Affinity (SPR),0.42,nM (Kd),2023-04-12,Jesse Clark,Pass
LAB-00042,CMP-0108,Binding Affinity (SPR),0.81,nM (Kd),2024-08-23,Jeffrey Horton,Pass
LAB-00043,CMP-0045,Cell Viability Assay,85.3,% viability,2023-12-27,Robert Wilson,Pass
LAB-00044,CMP-0129,Enzymatic Inhibition Assay,3.49,nM (IC50),2026-02-08,Megan Martin,Fail
LAB-00045,CMP-0125,Metabolic Stability (Microsomal),95.1,min (t1/2),2026-08-24,Christopher Moore,Pass
LAB-00046,CMP-0066,Selectivity Panel,82.4,% selectivity,2024-12-13,Crystal Sullivan,Fail
LAB-00047,CMP-0104,Enzymatic Inhibition Assay,13.44,nM (IC50),2023-06-14,Jessica Johnson,Pass
LAB-00048,CMP-0133,Cell Viability Assay,81.5,% viability,2025-03-02,Kevin Price,Pass
LAB-00049,CMP-0053,Metabolic Stability (Microsomal),154.9,min (t1/2),2025-07-12,Paul Stokes,Pass
LAB-00050,CMP-0035,Solubility Assay,2.95,mg/mL,2022-12-18,Shane Lopez,Pass
LAB-00051,CMP-0144,Cell Viability Assay,78.7,% viability,2024-01-06,Dennis Huffman,Pass
LAB-00052,CMP-0008,Enzymatic Inhibition Assay,6.37,nM (IC50),2024-10-27,Linda Carr,Pass
LAB-00053,CMP-0118,Selectivity Panel,98.4,% selectivity,2025-01-22,Ryan Williamson,Pass
LAB-00054,CMP-0143,Cell Viability Assay,31.3,% viability,2025-12-19,Elizabeth Mendez,Pass
LAB-00055,CMP-0060,hERG Cardiotoxicity Screen,67.5,% inhibition at 10uM,2023-01-19,Bruce Torres,Pass
LAB-00056,CMP-0063,Enzymatic Inhibition Assay,1.48,nM (IC50),2023-06-12,Kayla Barnes,Fail
LAB-00057,CMP-0131,Solubility Assay,2.16,mg/mL,2023-04-07,Cody Reid,Fail
LAB-00058,CMP-0094,Binding Affinity (SPR),0.68,nM (Kd),2025-06-26,Zoe Peters,Pass
LAB-00059,CMP-0024,Metabolic Stability (Microsomal),134.1,min (t1/2),2024-09-01,Ernest Hayes,Pass
LAB-00060,CMP-0091,hERG Cardiotoxicity Screen,51.1,% inhibition at 10uM,2022-12-05,Adam Taylor,Fail
LAB-00061,CMP-0139,Binding Affinity (SPR),2.43,nM (Kd),2025-12-21,Kathy Simpson,Pass
LAB-00062,CMP-0002,Metabolic Stability (Microsomal),98.6,min (t1/2),2025-06-13,Ryan Burns,Pass
LAB-00063,CMP-0010,Solubility Assay,2.7,mg/mL,2023-01-16,Philip Carter,Pass
LAB-00064,CMP-0138,Pharmacokinetic (PK) Study,11.9,hours (t1/2),2023-10-24,Carol Ellis,Pass
LAB-00065,CMP-0106,Cell Viability Assay,25.8,% viability,2025-09-06,Krista Wilson,Pass
LAB-00066,CMP-0125,Solubility Assay,3.59,mg/mL,2023-03-03,Samantha Richardson,Fail
LAB-00067,CMP-0086,Metabolic Stability (Microsomal),86.8,min (t1/2),2026-01-01,Nathan Payne,Pass
LAB-00068,CMP-0133,Cell Viability Assay,59.1,% viability,2026-09-02,Ronald Potter,Pass
LAB-00069,CMP-0091,Metabolic Stability (Microsomal),103.6,min (t1/2),2023-11-26,Mrs. Hannah Montoya MD,Pass
LAB-00070,CMP-0039,Solubility Assay,3.74,mg/mL,2026-09-08,Cynthia Cochran,Fail
LAB-00071,CMP-0054,hERG Cardiotoxicity Screen,75.6,% inhibition at 10uM,2025-01-23,Michael Chen,Pass
LAB-00072,CMP-0050,Selectivity Panel,14.2,% selectivity,2023-05-18,Daniel Clark,Pass
LAB-00073,CMP-0131,Solubility Assay,3.68,mg/mL,2022-12-13,Douglas Ryan,Pass
LAB-00074,CMP-0112,Metabolic Stability (Microsomal),84.3,min (t1/2),2024-01-03,Donna Adams,Pass
LAB-00075,CMP-0118,Metabolic Stability (Microsomal),179.0,min (t1/2),2026-02-21,Miss Anna Estes,Fail
LAB-00076,CMP-0099,hERG Cardiotoxicity Screen,9.2,% inhibition at 10uM,2025-11-08,Wendy Camacho,Pass
LAB-00077,CMP-0132,Cell Viability Assay,32.0,% viability,2023-03-22,Danielle Dawson,Fail
LAB-00078,CMP-0001,Pharmacokinetic (PK) Study,18.92,hours (t1/2),2026-01-09,Megan Burns,Pass
LAB-00079,CMP-0054,Pharmacokinetic (PK) Study,6.04,hours (t1/2),2025-01-08,Jason Hayes,Pass
LAB-00080,CMP-0088,Solubility Assay,1.78,mg/mL,2025-03-31,Anna Robertson,Pass
LAB-00081,CMP-0048,Cell Viability Assay,52.2,% viability,2023-10-29,Jackie Clements,Fail
LAB-00082,CMP-0149,hERG Cardiotoxicity Screen,13.6,% inhibition at 10uM,2024-01-08,Raymond Oconnor,Pass
LAB-00083,CMP-0104,hERG Cardiotoxicity Screen,73.4,% inhibition at 10uM,2025-08-20,Matthew Howard,Fail
LAB-00084,CMP-0038,Cell Viability Assay,82.7,% viability,2022-12-19,Claudia Jordan,Fail
LAB-00085,CMP-0097,Selectivity Panel,73.2,% selectivity,2023-07-24,Ronald Morgan,Pass
LAB-00086,CMP-0056,Metabolic Stability (Microsomal),92.1,min (t1/2),2025-01-08,Karina Cooper,Fail
LAB-00087,CMP-0054,Cell Viability Assay,62.1,% viability,2025-06-10,Brett Bowers,Pass
LAB-00088,CMP-0144,Cell Viability Assay,7.2,% viability,2024-07-19,Scott Alexander,Pass
LAB-00089,CMP-0144,Solubility Assay,2.6,mg/mL,2022-09-18,Christina Barker,Pass
LAB-00090,CMP-0122,Enzymatic Inhibition Assay,20.61,nM (IC50),2023-03-29,Caitlin Cantu,Pass
LAB-00091,CMP-0024,Metabolic Stability (Microsomal),15.0,min (t1/2),2023-10-23,Danielle Watson,Pass
LAB-00092,CMP-0150,Binding Affinity (SPR),1.85,nM (Kd),2026-04-29,James Torres,Pass
LAB-00093,CMP-0128,Pharmacokinetic (PK) Study,0.63,hours (t1/2),2025-07-05,Matthew Padilla,Pass
LAB-00094,CMP-0028,Pharmacokinetic (PK) Study,3.32,hours (t1/2),2022-09-19,Casey Perez,Fail
LAB-00095,CMP-0043,hERG Cardiotoxicity Screen,36.7,% inhibition at 10uM,2025-06-06,Michael Montoya,Pass
LAB-00096,CMP-0142,Pharmacokinetic (PK) Study,15.7,hours (t1/2),2026-08-30,Carlos Jones,Fail
LAB-00097,CMP-0029,Metabolic Stability (Microsomal),113.8,min (t1/2),2024-03-30,Ashley Edwards,Pass
LAB-00098,CMP-0034,hERG Cardiotoxicity Screen,7.8,% inhibition at 10uM,2026-03-27,Raymond Mullins,Pass
LAB-00099,CMP-0122,Cell Viability Assay,83.2,% viability,2023-03-31,Brenda Moreno MD,Pass
LAB-00100,CMP-0017,Binding Affinity (SPR),0.28,nM (Kd),2025-04-24,Nathan Fuller,Pass
LAB-00101,CMP-0092,Selectivity Panel,45.1,% selectivity,2023-04-27,Michael Heath,Pass
LAB-00102,CMP-0105,Binding Affinity (SPR),3.73,nM (Kd),2023-01-22,Paul Lawrence,Pass
LAB-00103,CMP-0044,Pharmacokinetic (PK) Study,10.23,hours (t1/2),2024-03-31,Emily Taylor,Pass
LAB-00104,CMP-0029,Metabolic Stability (Microsomal),158.9,min (t1/2),2023-10-27,Juan Greene,Pass
LAB-00105,CMP-0017,Metabolic Stability (Microsomal),99.4,min (t1/2),2025-02-21,Melissa Abbott,Pass
LAB-00106,CMP-0022,Solubility Assay,8.67,mg/mL,2025-05-06,Joseph Hicks,Pass
LAB-00107,CMP-0113,Metabolic Stability (Microsomal),79.7,min (t1/2),2025-09-13,Anthony Hurst,Pass
LAB-00108,CMP-0049,Pharmacokinetic (PK) Study,21.68,hours (t1/2),2026-07-12,Brian Porter MD,Pass
LAB-00109,CMP-0090,Binding Affinity (SPR),1.58,nM (Kd),2024-10-28,Victoria Peck,Pass
LAB-00110,CMP-0107,Pharmacokinetic (PK) Study,14.23,hours (t1/2),2023-03-29,Laura Diaz,Pass
LAB-00111,CMP-0090,Solubility Assay,2.19,mg/mL,2025-06-11,Tiffany Townsend,Pass
LAB-00112,CMP-0143,Selectivity Panel,70.8,% selectivity,2022-10-12,Dennis Williams,Pass
LAB-00113,CMP-0111,Binding Affinity (SPR),0.31,nM (Kd),2022-12-15,Katie Fuller,Pass
LAB-00114,CMP-0092,hERG Cardiotoxicity Screen,50.3,% inhibition at 10uM,2024-09-18,Michael Miller,Pass
LAB-00115,CMP-0049,Metabolic Stability (Microsomal),131.0,min (t1/2),2024-11-09,Diamond Collins,Pass
LAB-00116,CMP-0049,Binding Affinity (SPR),1.75,nM (Kd),2024-10-03,Robert Herrera,Pass
LAB-00117,CMP-0015,Pharmacokinetic (PK) Study,18.96,hours (t1/2),2024-04-10,Sandra Becker,Pass
LAB-00118,CMP-0130,Enzymatic Inhibition Assay,14.33,nM (IC50),2022-12-23,Monica Mathis,Pass
LAB-00119,CMP-0059,Selectivity Panel,17.4,% selectivity,2022-12-11,Jeffrey Chavez,Pass
LAB-00120,CMP-0082,Binding Affinity (SPR),2.52,nM (Kd),2025-02-22,Patrick Yang,Pass
LAB-00121,CMP-0053,hERG Cardiotoxicity Screen,66.2,% inhibition at 10uM,2023-03-11,Meredith Martin,Pass
LAB-00122,CMP-0055,Cell Viability Assay,70.9,% viability,2026-07-10,Rachel Le,Pass
LAB-00123,CMP-0070,Metabolic Stability (Microsomal),68.6,min (t1/2),2023-05-19,Richard Adams,Pass
LAB-00124,CMP-0037,Pharmacokinetic (PK) Study,19.48,hours (t1/2),2026-04-04,Alyssa Roman,Pass
LAB-00125,CMP-0082,Binding Affinity (SPR),0.22,nM (Kd),2023-10-20,Michael Ray,Pass
LAB-00126,CMP-0141,Pharmacokinetic (PK) Study,14.68,hours (t1/2),2023-01-08,Ian Porter,Pass
LAB-00127,CMP-0031,Metabolic Stability (Microsomal),73.3,min (t1/2),2024-12-23,David Garcia,Fail
LAB-00128,CMP-0095,Selectivity Panel,13.0,% selectivity,2025-01-02,Crystal Hicks,Pass
LAB-00129,CMP-0102,Metabolic Stability (Microsomal),122.7,min (t1/2),2022-11-21,Dana Ruiz,Pass
LAB-00130,CMP-0077,Solubility Assay,0.12,mg/mL,2024-03-30,Timothy Mathews,Pass
LAB-00131,CMP-0076,Cell Viability Assay,89.7,% viability,2024-12-03,Natalie Barnes,Fail
LAB-00132,CMP-0143,Binding Affinity (SPR),7.84,nM (Kd),2023-12-31,Nathan Nelson,Pass
LAB-00133,CMP-0125,Solubility Assay,1.34,mg/mL,2023-01-09,Jonathan Winters,Fail
LAB-00134,CMP-0028,Enzymatic Inhibition Assay,4.23,nM (IC50),2023-06-06,Vicki Finley,Pass
LAB-00135,CMP-0095,Metabolic Stability (Microsomal),114.0,min (t1/2),2022-12-27,Douglas Kirk,Pass
LAB-00136,CMP-0071,Solubility Assay,2.24,mg/mL,2024-01-08,Aimee Gonzalez,Pass
LAB-00137,CMP-0080,Metabolic Stability (Microsomal),7.5,min (t1/2),2024-12-19,Marcus Marshall,Fail
LAB-00138,CMP-0098,Cell Viability Assay,41.3,% viability,2025-01-28,Raymond Gonzalez DVM,Pass
LAB-00139,CMP-0068,Binding Affinity (SPR),8.0,nM (Kd),2025-10-02,Aaron Ortiz,Pass
LAB-00140,CMP-0123,Metabolic Stability (Microsomal),68.4,min (t1/2),2023-08-24,Ryan Wiley,Pass
LAB-00141,CMP-0001,Pharmacokinetic (PK) Study,21.41,hours (t1/2),2026-07-07,Matthew Sweeney,Pass
LAB-00142,CMP-0090,Enzymatic Inhibition Assay,8.23,nM (IC50),2025-08-14,Joseph Allen,Pass
LAB-00143,CMP-0115,hERG Cardiotoxicity Screen,72.4,% inhibition at 10uM,2024-09-05,Zachary Dawson,Pass
LAB-00144,CMP-0053,Cell Viability Assay,52.3,% viability,2023-01-31,Stephanie Meyer,Fail
LAB-00145,CMP-0119,Pharmacokinetic (PK) Study,13.21,hours (t1/2),2025-07-07,William Miller,Pass
LAB-00146,CMP-0043,Solubility Assay,1.49,mg/mL,2023-02-04,Robert Jones,Pass
LAB-00147,CMP-0096,Binding Affinity (SPR),1.95,nM (Kd),2024-12-25,Victor Young,Pass
LAB-00148,CMP-0056,Solubility Assay,2.0,mg/mL,2023-10-04,Robert Haynes,Pass
LAB-00149,CMP-0035,Selectivity Panel,89.8,% selectivity,2025-08-26,Dillon Jones,Pass
LAB-00150,CMP-0075,Selectivity Panel,10.5,% selectivity,2023-07-10,Lauren Moore,Pass
LAB-00151,CMP-0043,hERG Cardiotoxicity Screen,14.8,% inhibition at 10uM,2023-05-15,Jason Herrera,Fail
LAB-00152,CMP-0134,Cell Viability Assay,94.5,% viability,2026-07-27,Eric Baker,Fail
LAB-00153,CMP-0083,Solubility Assay,4.05,mg/mL,2023-03-12,Michael Mckenzie,Pass
LAB-00154,CMP-0115,Pharmacokinetic (PK) Study,17.99,hours (t1/2),2025-07-01,Russell Murphy,Pass
LAB-00155,CMP-0010,Binding Affinity (SPR),2.09,nM (Kd),2023-01-29,Henry Palmer,Pass
LAB-00156,CMP-0077,Pharmacokinetic (PK) Study,6.89,hours (t1/2),2025-06-02,William Johnson,Pass
LAB-00157,CMP-0026,Metabolic Stability (Microsomal),27.2,min (t1/2),2024-04-30,Paul Wright,Pass
LAB-00158,CMP-0092,Binding Affinity (SPR),7.65,nM (Kd),2024-07-23,Brenda Smith,Pass
LAB-00159,CMP-0071,Pharmacokinetic (PK) Study,9.98,hours (t1/2),2026-01-12,Mrs. Samantha Watson,Fail
LAB-00160,CMP-0031,Metabolic Stability (Microsomal),124.0,min (t1/2),2025-03-26,Lauren Green,Pass
LAB-00161,CMP-0009,Binding Affinity (SPR),2.95,nM (Kd),2025-12-17,Austin Orr,Pass
LAB-00162,CMP-0137,Metabolic Stability (Microsomal),146.6,min (t1/2),2024-06-26,Taylor Calderon,Pass
LAB-00163,CMP-0122,Binding Affinity (SPR),2.7,nM (Kd),2024-01-15,Joel Jackson,Fail
LAB-00164,CMP-0066,Cell Viability Assay,83.9,% viability,2025-01-02,Jennifer Johnson,Pass
LAB-00165,CMP-0128,Pharmacokinetic (PK) Study,15.32,hours (t1/2),2025-06-11,Daniel Lopez,Pass
LAB-00166,CMP-0078,Binding Affinity (SPR),2.59,nM (Kd),2023-10-31,Amanda Harvey,Pass
LAB-00167,CMP-0144,hERG Cardiotoxicity Screen,49.9,% inhibition at 10uM,2023-09-11,Jason Pierce,Pass
LAB-00168,CMP-0011,Selectivity Panel,93.2,% selectivity,2022-12-16,Chad Gonzalez,Pass
LAB-00169,CMP-0134,Solubility Assay,5.02,mg/mL,2026-04-01,Lydia Pham,Pass
LAB-00170,CMP-0042,Metabolic Stability (Microsomal),138.3,min (t1/2),2025-11-21,Rachael Howard DDS,Pass
LAB-00171,CMP-0034,Solubility Assay,1.84,mg/mL,2024-08-25,Kathryn Price,Pass
LAB-00172,CMP-0056,Selectivity Panel,46.4,% selectivity,2023-06-07,Daniel Huang,Pass
LAB-00173,CMP-0111,hERG Cardiotoxicity Screen,82.3,% inhibition at 10uM,2025-10-28,William Moreno,Pass
LAB-00174,CMP-0043,Cell Viability Assay,70.0,% viability,2025-10-11,Dr. Ariel Sandoval MD,Pass
LAB-00175,CMP-0082,Solubility Assay,0.8,mg/mL,2025-12-22,Amy Davies,Fail
LAB-00176,CMP-0124,hERG Cardiotoxicity Screen,92.1,% inhibition at 10uM,2023-08-04,Rebecca Kelly,Fail
LAB-00177,CMP-0021,Solubility Assay,0.0,mg/mL,2026-01-25,Casey Watkins,Pass
LAB-00178,CMP-0020,Metabolic Stability (Microsomal),20.4,min (t1/2),2025-12-08,Suzanne Johnson,Pass
LAB-00179,CMP-0022,Pharmacokinetic (PK) Study,8.9,hours (t1/2),2025-07-06,Kristy Hart,Pass
LAB-00180,CMP-0034,Metabolic Stability (Microsomal),152.1,min (t1/2),2023-06-19,Sierra Vasquez MD,Fail
LAB-00181,CMP-0104,Pharmacokinetic (PK) Study,22.61,hours (t1/2),2024-09-03,David Robinson,Pass
LAB-00182,CMP-0038,Selectivity Panel,21.2,% selectivity,2024-10-25,Thomas Harris,Pass
LAB-00183,CMP-0019,Pharmacokinetic (PK) Study,7.42,hours (t1/2),2023-03-27,Tamara Richard,Pass
LAB-00184,CMP-0062,Selectivity Panel,57.3,% selectivity,2024-01-03,Kevin Stark,Pass
LAB-00185,CMP-0130,Solubility Assay,4.48,mg/mL,2025-10-22,Shannon Yu,Pass
LAB-00186,CMP-0043,Selectivity Panel,53.9,% selectivity,2024-03-16,Jennifer Garcia,Fail
LAB-00187,CMP-0104,Metabolic Stability (Microsomal),155.1,min (t1/2),2023-12-02,Christopher Fry,Pass
LAB-00188,CMP-0057,Selectivity Panel,90.7,% selectivity,2025-11-17,Marie Thompson,Pass
LAB-00189,CMP-0116,Selectivity Panel,49.5,% selectivity,2026-08-02,Tanya Buchanan,Pass
LAB-00190,CMP-0150,Selectivity Panel,81.8,% selectivity,2023-08-09,Casey Parker,Pass
LAB-00191,CMP-0074,Cell Viability Assay,20.7,% viability,2025-06-19,Nicholas Rush,Pass
LAB-00192,CMP-0143,Binding Affinity (SPR),0.41,nM (Kd),2026-07-04,Zachary Sanford,Pass
LAB-00193,CMP-0034,hERG Cardiotoxicity Screen,94.1,% inhibition at 10uM,2022-11-04,Tammy Ponce,Pass
LAB-00194,CMP-0052,hERG Cardiotoxicity Screen,6.9,% inhibition at 10uM,2023-08-06,Taylor Taylor,Fail
LAB-00195,CMP-0092,Selectivity Panel,1.1,% selectivity,2025-09-10,William Jackson,Pass
LAB-00196,CMP-0114,Selectivity Panel,67.6,% selectivity,2026-04-02,Michael Fowler,Pass
LAB-00197,CMP-0029,Cell Viability Assay,88.3,% viability,2026-04-04,Derek Wright,Pass
LAB-00198,CMP-0108,hERG Cardiotoxicity Screen,63.6,% inhibition at 10uM,2022-12-25,Brian Smith,Pass
LAB-00199,CMP-0096,Solubility Assay,7.8,mg/mL,2024-04-03,Tracy Wilkerson,Pass
LAB-00200,CMP-0113,Enzymatic Inhibition Assay,1.09,nM (IC50),2024-09-06,Joshua Garcia,Pass
LAB-00201,CMP-0015,Selectivity Panel,89.9,% selectivity,2024-08-18,Marilyn Mcdaniel,Pass
LAB-00202,CMP-0086,Metabolic Stability (Microsomal),175.4,min (t1/2),2023-05-13,Ryan Phillips,Fail
LAB-00203,CMP-0140,Binding Affinity (SPR),15.05,nM (Kd),2023-12-27,Angela Jackson,Pass
LAB-00204,CMP-0124,Enzymatic Inhibition Assay,19.76,nM (IC50),2024-03-19,Kimberly Villanueva,Pass
LAB-00205,CMP-0020,Solubility Assay,1.85,mg/mL,2023-01-31,Lisa Webb,Pass
LAB-00206,CMP-0136,Cell Viability Assay,28.0,% viability,2022-11-02,Carmen Preston,Pass
LAB-00207,CMP-0145,Cell Viability Assay,94.8,% viability,2023-05-05,Daniel Lee,Pass
LAB-00208,CMP-0001,Binding Affinity (SPR),0.86,nM (Kd),2025-07-01,Monica Baker,Fail
LAB-00209,CMP-0146,Solubility Assay,0.64,mg/mL,2023-11-03,Anthony Armstrong,Pass
LAB-00210,CMP-0120,Metabolic Stability (Microsomal),43.1,min (t1/2),2026-01-26,Isaac Patterson,Fail
LAB-00211,CMP-0028,Pharmacokinetic (PK) Study,23.31,hours (t1/2),2023-11-22,Lindsay Gonzalez,Pass
LAB-00212,CMP-0006,Binding Affinity (SPR),0.99,nM (Kd),2022-10-25,Edgar Miller,Pass
LAB-00213,CMP-0028,Solubility Assay,2.31,mg/mL,2026-01-31,James Burns,Pass
LAB-00214,CMP-0138,Pharmacokinetic (PK) Study,6.91,hours (t1/2),2025-05-10,Joshua Lopez,Pass
LAB-00215,CMP-0046,hERG Cardiotoxicity Screen,53.9,% inhibition at 10uM,2026-04-02,Jeremy Baker,Pass
LAB-00216,CMP-0062,hERG Cardiotoxicity Screen,26.0,% inhibition at 10uM,2024-07-27,Derrick Brown,Pass
LAB-00217,CMP-0118,Cell Viability Assay,90.5,% viability,2025-09-20,Angelica Cooper,Fail
LAB-00218,CMP-0070,Metabolic Stability (Microsomal),31.3,min (t1/2),2024-11-16,Leah Spencer,Pass
LAB-00219,CMP-0010,hERG Cardiotoxicity Screen,42.0,% inhibition at 10uM,2026-01-27,Jennifer Nichols,Pass
LAB-00220,CMP-0088,Pharmacokinetic (PK) Study,7.99,hours (t1/2),2026-03-06,Stephen Alvarez,Pass
LAB-00221,CMP-0140,Pharmacokinetic (PK) Study,4.8,hours (t1/2),2023-01-11,Michelle Shaw,Pass
LAB-00222,CMP-0125,Solubility Assay,20.45,mg/mL,2026-04-24,Megan Oliver,Pass
LAB-00223,CMP-0140,Metabolic Stability (Microsomal),63.2,min (t1/2),2023-03-12,Carrie Joyce,Pass
LAB-00224,CMP-0136,hERG Cardiotoxicity Screen,4.1,% inhibition at 10uM,2026-08-07,Beth Henderson,Pass
LAB-00225,CMP-0014,Metabolic Stability (Microsomal),27.8,min (t1/2),2026-08-30,Zachary Burton,Pass
LAB-00226,CMP-0017,Cell Viability Assay,45.4,% viability,2026-01-17,Thomas Sloan,Pass
LAB-00227,CMP-0009,hERG Cardiotoxicity Screen,57.7,% inhibition at 10uM,2022-12-24,James Nguyen,Pass
LAB-00228,CMP-0082,Solubility Assay,1.89,mg/mL,2023-10-26,Shane Buchanan,Pass
LAB-00229,CMP-0053,Selectivity Panel,52.4,% selectivity,2025-03-15,Jennifer Perry,Pass
LAB-00230,CMP-0024,Enzymatic Inhibition Assay,6.63,nM (IC50),2023-04-22,Olivia Ayers,Pass
LAB-00231,CMP-0044,Cell Viability Assay,18.8,% viability,2026-05-30,Ashlee Mitchell,Pass
LAB-00232,CMP-0114,Selectivity Panel,70.0,% selectivity,2024-11-08,Jason Reyes,Pass
LAB-00233,CMP-0109,Solubility Assay,2.74,mg/mL,2024-08-26,Amanda Hill,Pass
LAB-00234,CMP-0074,Metabolic Stability (Microsomal),109.2,min (t1/2),2023-04-16,Melissa Williams,Fail
LAB-00235,CMP-0099,Metabolic Stability (Microsomal),12.0,min (t1/2),2026-04-08,David Reese,Pass
LAB-00236,CMP-0083,Selectivity Panel,29.9,% selectivity,2026-05-24,Alicia Roth,Pass
LAB-00237,CMP-0134,hERG Cardiotoxicity Screen,72.7,% inhibition at 10uM,2023-12-04,John Horton,Pass
LAB-00238,CMP-0138,Pharmacokinetic (PK) Study,10.29,hours (t1/2),2023-02-08,Brandy Mccann,Pass
LAB-00239,CMP-0030,Selectivity Panel,41.2,% selectivity,2024-06-25,Debra Butler,Pass
LAB-00240,CMP-0086,Enzymatic Inhibition Assay,7.93,nM (IC50),2025-04-17,Daniel Holloway,Fail
LAB-00241,CMP-0123,Selectivity Panel,58.6,% selectivity,2025-09-03,Sharon Nicholson,Fail
LAB-00242,CMP-0082,Pharmacokinetic (PK) Study,10.99,hours (t1/2),2024-10-09,Eric Hunter,Pass
LAB-00243,CMP-0132,Enzymatic Inhibition Assay,0.88,nM (IC50),2023-04-04,Sherry Johnson,Pass
LAB-00244,CMP-0025,Metabolic Stability (Microsomal),81.0,min (t1/2),2023-06-26,Sara Wright,Fail
