compound_id,compound_name,chemical_class,therapeutic_area,target_protein,mechanism_of_action,discovery_phase,molecular_weight_da,solubility_mg_ml,toxicity_score,lead_scientist,synthesis_date,created_at
CMP-0089,VLX-1088,PROTAC,Metabolic Disease,BRAF,"Covalent inhibitor of BRAF, irreversibly disabling enzymatic activity.",Phase III,507.54,0.468,0.284,Brian Hamilton,2026-05-29,2026-06-05
CMP-0090,DKU-1089,PROTAC,Cardiology,ALK,"Competitive antagonist at the ALK binding site, restoring normal pathway flux.",Preclinical,1157.26,0.518,0.267,Larry Dixon,2025-01-09,2025-01-29
CMP-0091,DKU-1090,PROTAC,Cardiology,CDK4/6,Degrader that recruits CDK4/6 to the ubiquitin-proteasome system for clearance.,Discovery,955.49,0.851,0.085,Dawn Fletcher,2022-12-28,2023-01-14
CMP-0092,AGN-1091,Peptide,Immunology,IL-6R,Degrader that recruits IL-6R to the ubiquitin-proteasome system for clearance.,Discovery,607.49,0.361,0.431,Kimberly Ball,2020-09-20,2020-09-30
CMP-0093,SNF-1092,Antisense Oligonucleotide,Metabolic Disease,KRAS G12C,"Monoclonal antibody that binds KRAS G12C, triggering immune-mediated cell death.",Phase III,936.46,1.595,0.098,Helen Jones,2025-02-07,2025-02-20
CMP-0094,PSA-1093,Peptide,Immunology,PCSK9,"Covalent inhibitor of PCSK9, irreversibly disabling enzymatic activity.",Discovery,1121.22,2.136,0.215,Erik Charles,2024-08-23,2024-09-10
CMP-0095,RX-1094,Monoclonal Antibody,Immunology,EGFR,"Allosteric modulator of EGFR, reducing pathological receptor activation.",Discovery,388.62,4.213,0.389,Eric Ortiz,2024-12-21,2025-01-09
CMP-0096,AGN-1095,Antisense Oligonucleotide,Metabolic Disease,CDK4/6,"Competitive antagonist at the CDK4/6 binding site, restoring normal pathway flux.",Preclinical,1217.08,1.446,0.489,Cameron Fisher,2023-02-03,2023-02-10
CMP-0097,VLX-1096,Monoclonal Antibody,Metabolic Disease,BRAF,"Competitive antagonist at the BRAF binding site, restoring normal pathway flux.",Phase I,474.91,5.746,0.134,Stephanie Gilbert,2026-04-12,2026-04-15
CMP-0098,VLX-1097,PROTAC,Infectious Disease,IL-6R,"Covalent inhibitor of IL-6R, irreversibly disabling enzymatic activity.",Discovery,1373.59,2.47,0.216,April Mitchell,2022-06-29,2022-07-10
CMP-0099,VLX-1098,Peptide,Neurology,BTK,"Monoclonal antibody that binds BTK, triggering immune-mediated cell death.",Phase I,1315.24,3.885,0.256,Mary Marshall,2023-04-04,2023-04-11
CMP-0100,DKU-1099,Monoclonal Antibody,Immunology,TNF-alpha,"Selective inhibitor of TNF-alpha, blocking downstream proliferative signaling.",Discovery,903.76,3.594,0.088,John Santana,2023-04-30,2023-05-20
CMP-0101,AGN-1100,PROTAC,Infectious Disease,BTK,"Competitive antagonist at the BTK binding site, restoring normal pathway flux.",Phase III,341.91,1.266,0.188,Bradley Robertson,2025-06-04,2025-06-11
CMP-0102,AGN-1101,Monoclonal Antibody,Neurology,NLRP3,"Competitive antagonist at the NLRP3 binding site, restoring normal pathway flux.",Phase II,994.26,2.96,0.207,Robert Potter,2024-06-16,2024-06-17
CMP-0103,SNF-1102,Monoclonal Antibody,Respiratory,JAK2,"Competitive antagonist at the JAK2 binding site, restoring normal pathway flux.",Approved,920.91,1.281,0.079,Curtis Johnson,2024-09-10,2024-09-27
CMP-0104,PSA-1103,Monoclonal Antibody,Respiratory,SGLT2,"Selective inhibitor of SGLT2, blocking downstream proliferative signaling.",Discovery,1287.6,6.725,0.535,Samuel Jones,2022-02-28,2022-03-04
CMP-0105,AGN-1104,PROTAC,Infectious Disease,SGLT2,"Monoclonal antibody that binds SGLT2, triggering immune-mediated cell death.",Discovery,911.89,2.333,0.244,Cheyenne Horton,2023-03-02,2023-03-20
CMP-0106,PSA-1105,siRNA Therapeutic,Metabolic Disease,CDK4/6,"Competitive antagonist at the CDK4/6 binding site, restoring normal pathway flux.",Phase I,323.81,10.473,0.237,Matthew Smith,2023-08-21,2023-09-07
CMP-0107,AGN-1106,Monoclonal Antibody,Metabolic Disease,GLP-1R,"Covalent inhibitor of GLP-1R, irreversibly disabling enzymatic activity.",Preclinical,249.55,1.021,0.307,Ashley Coleman,2025-02-26,2025-03-14
CMP-0108,SNF-1107,siRNA Therapeutic,Metabolic Disease,SGLT2,"Allosteric modulator of SGLT2, reducing pathological receptor activation.",Preclinical,620.63,3.344,0.021,Kelly Williams,2021-10-02,2021-10-11
CMP-0109,VLX-1108,Monoclonal Antibody,Cardiology,BRAF,"Competitive antagonist at the BRAF binding site, restoring normal pathway flux.",Discovery,812.93,1.357,0.042,Joyce Solis,2022-03-09,2022-03-24
CMP-0110,RX-1109,Monoclonal Antibody,Cardiology,BTK,Degrader that recruits BTK to the ubiquitin-proteasome system for clearance.,Discovery,1022.69,0.49,0.282,Linda Dodson DVM,2024-08-30,2024-09-10
CMP-0111,DKU-1110,Monoclonal Antibody,Neurology,CDK4/6,"Covalent inhibitor of CDK4/6, irreversibly disabling enzymatic activity.",Phase I,936.14,0.174,0.102,Kathy Rivas,2024-05-03,2024-05-11
CMP-0112,SNF-1111,PROTAC,Neurology,NLRP3,Degrader that recruits NLRP3 to the ubiquitin-proteasome system for clearance.,Preclinical,226.42,1.597,0.133,Natasha Wells,2023-12-15,2023-12-18
CMP-0113,RX-1112,Kinase Inhibitor,Immunology,GLP-1R,"Competitive antagonist at the GLP-1R binding site, restoring normal pathway flux.",Phase I,739.77,1.28,0.084,Mark Cannon,2022-03-31,2022-04-14
CMP-0114,AGN-1113,Antisense Oligonucleotide,Respiratory,PD-1,"Monoclonal antibody that binds PD-1, triggering immune-mediated cell death.",Approved,654.1,0.789,0.052,Denise Jones,2023-10-19,2023-11-07
CMP-0115,AGN-1114,Antisense Oligonucleotide,Oncology,EGFR,"Covalent inhibitor of EGFR, irreversibly disabling enzymatic activity.",Phase II,1016.83,0.069,0.182,Francisco Fernandez,2022-05-27,2022-06-08
CMP-0116,AGN-1115,Kinase Inhibitor,Metabolic Disease,IL-6R,"Competitive antagonist at the IL-6R binding site, restoring normal pathway flux.",Discovery,1195.89,0.492,0.066,Michael Mccarthy,2021-07-13,2021-07-31
CMP-0117,SNF-1116,Peptide,Immunology,VEGFR2,"Competitive antagonist at the VEGFR2 binding site, restoring normal pathway flux.",Phase II,1266.73,4.433,0.573,Joshua Perry,2021-02-02,2021-02-18
CMP-0118,RX-1117,PROTAC,Metabolic Disease,EGFR,"Competitive antagonist at the EGFR binding site, restoring normal pathway flux.",Approved,196.51,0.223,0.4,Taylor Silva,2021-12-08,2021-12-21
CMP-0119,SNF-1118,Kinase Inhibitor,Infectious Disease,PCSK9,"Competitive antagonist at the PCSK9 binding site, restoring normal pathway flux.",Phase III,614.11,0.751,0.622,Pamela James,2024-10-29,2024-10-30
CMP-0120,PSA-1119,PROTAC,Oncology,NLRP3,"Covalent inhibitor of NLRP3, irreversibly disabling enzymatic activity.",Phase I,881.1,1.432,0.264,Paul Castaneda,2020-09-29,2020-10-02
CMP-0121,AGN-1120,Monoclonal Antibody,Oncology,GLP-1R,"Monoclonal antibody that binds GLP-1R, triggering immune-mediated cell death.",Phase III,799.04,5.624,0.118,Paul Payne,2026-05-10,2026-05-19
CMP-0122,SNF-1121,Antisense Oligonucleotide,Cardiology,NLRP3,"Allosteric modulator of NLRP3, reducing pathological receptor activation.",Phase I,984.52,0.746,0.266,Daniel Graham,2024-04-13,2024-04-24
CMP-0123,AGN-1122,Peptide,Respiratory,NLRP3,"Allosteric modulator of NLRP3, reducing pathological receptor activation.",Discovery,525.83,0.046,0.044,Michael Powell,2020-11-18,2020-11-21
CMP-0124,VLX-1123,Kinase Inhibitor,Oncology,mTOR,"Selective inhibitor of mTOR, blocking downstream proliferative signaling.",Phase III,442.16,0.028,0.195,Cameron Dean,2021-09-08,2021-09-20
CMP-0125,DKU-1124,siRNA Therapeutic,Metabolic Disease,VEGFR2,Degrader that recruits VEGFR2 to the ubiquitin-proteasome system for clearance.,Discovery,1341.3,1.357,0.567,Justin Johnson,2020-11-14,2020-11-16
CMP-0126,SNF-1125,siRNA Therapeutic,Oncology,EGFR,"Monoclonal antibody that binds EGFR, triggering immune-mediated cell death.",Phase II,285.15,2.311,0.253,Joel Williams,2024-07-07,2024-07-27
CMP-0127,SNF-1126,Antisense Oligonucleotide,Metabolic Disease,TNF-alpha,"Monoclonal antibody that binds TNF-alpha, triggering immune-mediated cell death.",Phase II,557.34,2.089,0.153,Gabriel Juarez,2022-12-15,2022-12-19
CMP-0128,VLX-1127,Peptide,Respiratory,BCL-2,"Competitive antagonist at the BCL-2 binding site, restoring normal pathway flux.",Phase I,937.99,1.017,0.063,Sandra King,2022-12-15,2022-12-27
